congress,year,majority_party
95,1977,D
95,1978,D
96,1979,D
96,1980,D
97,1981,R
97,1982,R
98,1983,R
98,1984,R
99,1985,R
99,1986,R
100,1987,D
100,1988,D
101,1989,D
101,1990,D
102,1991,D
102,1992,D
103,1993,D
103,1994,D
104,1995,R
104,1996,R
105,1997,R
105,1998,R
106,1999,R
106,2000,R
107,2001,D/R
107,2002,D/R
108,2003,R
108,2004,R
109,2005,R
109,2006,R
110,2007,R
110,2008,R
111,2009,D
111,2010,D
112,2011,D
112,2012,D
113,2013,D
113,2014,D
114,2015,R
114,2016,R
115,2017,R
115,2018,R
116,2019,R
116,2020,R
117,2021,D
117,2022,D